id,City for Azimuth,location,hive,camera,month,day,year,hour,minute,hour,min,segment,dance found?,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
,"London, OH",FSR,1,,,27,2016,,,14,10,Camera1_062716_14.10_for_60sec,,,1,1,4,8,1288,1400,1342.625,38.825,684,776,729.75,33.759,1.602,2.402,1.818,0.391,68,107,84.625,11.55,67.179,95.336,77.703,12.776,0,95.336,38.852,42.368,NA,NA,NA,NA,67.179,95.336,77.703,12.776,39.684,49.183,43.136,4.351,-74.798,-33.085,-50.788,17.493,NA,NA,NA,NA,,,,,205.2,205.2,3.581415625,1
,"London, OH",FSR,1,,,27,2016,,,14,15,Camera1_062716_14.15_for_60sec,,,1,1,4,8,1220,1282.667,1255.5,19.955,804,881.333,839.333,25.766,1.001,1.502,1.134,0.245,76,106,96.375,9.273,33.572,62.794,45.145,13.274,0,62.794,22.572,25.648,NA,NA,NA,NA,33.572,62.794,45.145,13.274,33.539,46.208,39.487,5.646,59.859,86.348,73.904,12.862,NA,NA,NA,NA,,,,,208.6,208.6,3.64075682,1
,"London, OH",FSR,1,,,27,2016,,,14,15,Camera1_062716_14.15_for_60sec,,,2,2,4,8,1026.667,1066.667,1046.5,15.226,734.667,822.667,775.333,28.275,0.834,1.468,1.21,0.28,97,126,110.5,9.008,22.667,62.454,42.942,16.723,0,62.454,21.471,25.431,NA,NA,NA,NA,22.667,62.454,42.942,16.723,27.173,45.652,34.646,7.815,73.887,94.764,83.653,10.299,NA,NA,NA,NA,,,,,208.6,208.6,3.64075682,1
,"London, OH",FSR,1,,,27,2016,,,14,15,Camera1_062716_14.15_for_60sec,,,3,3,4,8,1414.667,1484,1445.667,21.139,742.667,873.333,791.167,42.025,1.168,1.802,1.502,0.314,71,115,87.25,15.517,46.648,84.011,64.927,19.749,0,84.011,32.463,37.035,NA,NA,NA,NA,46.648,84.011,64.927,19.749,35.847,48.419,42.676,5.25,-130.601,-90.909,-116.475,17.527,NA,NA,NA,NA,,,,,208.6,208.6,3.64075682,1
,"London, OH",FSR,1,,,27,2016,,,14,20,Camera1_062716_14.20_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.9,211.9,3.698352685,1
,"London, OH",FSR,1,,,27,2016,,,14,25,Camera1_062716_14.25_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,215,3.752457892,1
,"London, OH",FSR,1,,,27,2016,,,14,30,Camera1_062716_14.30_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.9,217.9,3.80307244,1
,,FSR,1,,,19,2016,,,11,6,Camera1_071916_11.06_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,728,12.70599695,1
,,FSR,1,,,19,2016,,,11,11,Camera1_071916_11.11_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,1.919862177,1
,,FSR,1,,,19,2016,,,11,16,Camera1_071916_11.16_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.3,111.3,1.942551457,1
,,FSR,1,,,19,2016,,,11,21,Camera1_071916_11.21_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.6,112.6,1.965240738,1
,,FSR,1,,,19,2016,,,11,26,Camera1_071916_11.26_for_60sec,,,1,1,4,8,797,832,815,12.873,665,792,724.375,39.108,2.402,2.803,2.619,0.184,34,98,62.125,22.599,46.011,67.978,58.665,9.321,0,67.978,29.333,31.946,NA,NA,NA,NA,46.011,67.978,58.665,9.321,18.144,28.296,22.509,4.302,95.906,132.357,112.568,15.577,NA,NA,NA,NA,,,,,113.9,113.9,1.987930018,1
,,FSR,1,,,19,2016,,,11,26,Camera1_071916_11.26_for_60sec,,,2,2,4,8,656.667,990,792.167,113.397,296,501.333,376.333,69.731,2.803,6.74,4.68,1.641,63,96,77.375,10.555,86.82,160.472,117.978,30.807,0,160.472,58.989,66.209,NA,NA,NA,NA,86.82,160.472,117.978,30.807,22.227,30.976,26.039,3.877,131.576,151.731,141.415,10.855,NA,NA,NA,NA,,,,,113.9,113.9,1.987930018,1
,,FSR,1,,,19,2016,,,11,26,Camera1_071916_11.26_for_60sec,,,3,3,4,8,1239,1396,1312.375,57.666,672,873,762.125,77.845,0.734,1.134,0.976,0.175,68,90,78.125,7.434,45.607,77.006,61.19,14.318,0,77.006,30.595,34.024,NA,NA,NA,NA,45.607,77.006,61.19,14.318,46.95,72.121,63.097,11.67,-62.319,-37.614,-47.035,11.792,NA,NA,NA,NA,,,,,113.9,113.9,1.987930018,1
