City (for azimuth),hive,lat,lon,month,day,year,hour,min,hour,minute,segment,dance found?,segment start time,color,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,40,,,C9_062818_14.40_for_60sec,yes,14.4,,no,3,3,4,8,552,720,650.833,57.519,480.667,575.333,519,29.227,0.501,1.201,0.843,0.33,44,76,54.75,10.025,28.032,56.851,44.323,13.659,0,56.851,22.161,25.323,NA,NA,NA,NA,28.032,56.851,44.323,13.659,47.328,60.152,53.99,5.438,27.824,87.274,50.569,26.226,NA,NA,NA,NA,,117.824,177.274,140.569,,,140.569,2.453391876,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,41,,,C10_062818_14.41_for_60sec,yes,14.41,tan,yes C10,1,1,8,16,320,484,405.958,41.786,590,904,689.333,106.713,1.068,1.802,1.435,0.285,27,66,49.125,10.782,43.081,67.676,51.676,8.124,0,67.676,25.838,27.256,NA,NA,NA,NA,43.081,67.676,51.676,8.124,25.645,45.729,36.838,6.653,21.801,43.831,34.147,6.959,NA,NA,NA,NA,,111.801,133.831,124.147,,,124.147,2.166773906,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,41,,,C10_062818_14.41_for_60sec,yes,14.41,,yes,2,2,5,10,697.333,801.333,730.8,31.348,720,882.667,811.6,62.191,0.834,1.535,1.148,0.26,38,68,52.4,10.146,36.878,61.637,47.659,9.036,0,61.637,23.83,25.831,NA,NA,NA,NA,36.878,61.637,47.659,9.036,35.653,53.229,42.167,6.602,38.853,49.399,42.806,4.096,NA,NA,NA,NA,,128.853,139.399,132.806,,,132.806,2.317901966,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,41,,,C10_062818_14.41_for_60sec,yes,14.41,,no,3,3,4,8,236,452,325.333,76.892,722.667,856,781,41.543,1.168,2.069,1.543,0.382,35,49,42.625,4.897,38.204,82.149,57.064,19.615,0,82.149,28.532,33.095,NA,NA,NA,NA,38.204,82.149,57.064,19.615,27.261,40.792,36.637,6.304,42.614,76.866,60.917,14.092,NA,NA,NA,NA,,132.614,166.866,150.917,,,150.917,2.633998547,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,41,,,C10_062818_14.41_for_60sec,yes,14.41,,yes,4,4,7,14,580,676,632.095,26.929,525.333,658.667,585.143,41.526,0.968,1.468,1.12,0.175,34,77,49,10.627,40.552,57.581,48.624,5.949,0,57.581,24.312,25.552,NA,NA,NA,NA,40.552,57.581,48.624,5.949,39.204,50.832,43.728,4.324,9.462,63.435,35.352,17.988,NA,NA,NA,NA,,99.462,153.435,125.352,,,125.352,2.187805124,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,42,,,C11_062818_14.42_for_60sec,yes,14.42,grey brown,yes C11,1,1,8,16,465.333,730.667,569.417,66.017,676.667,843.333,728.417,47.166,1.101,1.602,1.356,0.161,23,65,47.312,11.217,27.487,50.684,40.343,6.818,0,50.684,20.171,21.347,NA,NA,NA,NA,27.487,50.684,40.343,6.818,20.595,37.83,30.047,5.659,1.507,39.806,22.603,11.479,NA,NA,NA,NA,,91.507,129.806,112.603,,,112.603,1.965293098,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,42,,,C11_062818_14.42_for_60sec,yes,14.42,,yes,2,2,9,18,625.333,800,709.037,54.312,752.667,916.667,822.889,45.021,0.734,1.368,1.142,0.19,33,82,56.944,13.269,29.963,66.68,43.96,10.797,0,66.68,21.98,23.799,NA,NA,NA,NA,29.963,66.68,43.96,10.797,27.212,48.741,38.631,6.763,11.535,72.121,37.244,18.555,NA,NA,NA,NA,,101.535,162.121,127.244,,,127.244,2.220826753,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,42,,,C11_062818_14.42_for_60sec,yes,14.42,,no,3,3,4,8,538.667,850.667,677.667,109.776,384.667,592.667,483.5,75.231,1.335,1.969,1.518,0.304,51,76,61.875,8.476,43.081,63.386,54.249,8.551,0,63.386,27.124,29.533,NA,NA,NA,NA,43.081,63.386,54.249,8.551,26.99,44.179,36.613,8.356,59.265,72.474,66.922,5.531,NA,NA,NA,NA,,149.265,162.474,156.922,,,156.922,2.738805569,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,42,,,C11_062818_14.42_for_60sec,yes,14.42,,no,4,4,4,8,345.333,396,372.833,17.207,720.667,803.333,755.833,28.4,1.201,1.935,1.543,0.336,20,48,35,10.433,32.111,48.314,39.377,6.937,0,48.314,19.689,21.532,NA,NA,NA,NA,32.111,48.314,39.377,6.937,21.09,28.391,25.847,3.248,38.367,62.021,50.682,9.94,NA,NA,NA,NA,,128.367,152.021,140.682,,,140.682,2.455364098,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,44,,,C12_062818_14.44_for_60sec,yes,14.44,,yes,1,1,5,10,672,844,758.4,52.961,555.333,658,610.8,33.954,0,0,0,0,30,65,48.6,12.851,45.976,65.605,53.961,7.139,0,65.605,26.98,28.835,NA,NA,NA,NA,45.976,65.605,53.961,7.139,NA,NA,NA,NA,29.539,47.045,37.924,8.052,NA,NA,NA,NA,,119.539,137.045,127.924,,,127.924,2.232694992,
